# SEIS PANOS — lote 1: os dois modelos fixos e os 12 packshots
#
# Os modelos saem para ../_fotos/ref/ porque nao sao asset do site: servem
# de referencia de rosto nas fotos seguintes.
#
# DESVIO DO BRIEFING: o PROMPTS-HIGGSFIELD.md manda NAO gerar o packshot,
# porque ele seria a foto real do bone do cliente. Esta loja e ficticia e
# nao existe bone real nenhum, entao o packshot tambem e gerado — e e ele
# que vira a referencia de produto das outras tres fotos.
#
# formato: saida|aspecto|referencia|prompt

../_fotos/ref/modelo-a.jpg|1:1|-|A young woman in her mid-twenties, natural beauty, long straight dark hair moving slightly in the wind, minimal makeup, small gold hoop earrings and a thin gold chain, calm confident expression looking slightly off camera. Wearing a sand-coloured ribbed turtleneck under a beige utility jacket. Neutral studio lighting, plain light grey background, front-facing reference shot, shot on 85mm at f/2.8, photorealistic, sharp facial detail, no text, no watermark
../_fotos/ref/modelo-b.jpg|1:1|-|A young man in his mid-twenties, short faded haircut and light beard, warm brown skin, calm confident expression looking straight at camera. Wearing a beige ribbed turtleneck under a sand-coloured overshirt. Neutral studio lighting, plain light grey background, front-facing reference shot, shot on 85mm at f/2.8, photorealistic, sharp facial detail, no text, no watermark

img/produtos/areia-rubro-1.jpg|1:1|-|Studio product photograph of a six-panel baseball cap with a sand-coloured crown and a perfectly flat brim, deep red raised embroidery of an abstract emblem on the front panel, a small gold foil sticker still stuck on the flat brim. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath, crisp stitching texture. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/tie-dye-cosmos-1.jpg|1:1|-|Studio product photograph of a six-panel baseball cap with a sand-coloured crown and a perfectly flat brim, the front patch dyed in pink and blue tie-dye with soft bleeding edges. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath, crisp stitching texture. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/trevo-neon-1.jpg|1:1|-|Studio product photograph of a six-panel baseball cap with a sand-coloured crown and a perfectly flat brim, black embroidery of an abstract emblem inside a white circle on the front panel, the underside of the brim lined in bright neon green and just visible. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/teal-montanha-1.jpg|1:1|-|Studio product photograph of a six-panel snapback cap with cream front panels and teal side panels, teal brim and teal back, a plastic seven-point snapback closure at the back, medium crown height, flat brim. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/preto-onyx-1.jpg|1:1|-|Studio product photograph of an all-black six-panel baseball cap with a perfectly flat brim, tone-on-tone black embroidery of an abstract emblem barely catching the light, matte black cotton twill. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/areia-malha-1.jpg|1:1|-|Studio product photograph of a trucker cap with sand cotton twill front panels and white mesh back panels, a slightly curved brim and a snapback closure. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath, the open weave of the mesh clearly visible. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
img/produtos/off-white-dad-1.jpg|1:1|-|Studio product photograph of an off-white washed cotton dad hat, low unstructured crown, curved brim, a brushed metal buckle strap at the back. Floating centred against a completely plain flat cream background, colour #E9E2D4, soft even studio light from above, subtle contact shadow beneath, soft worn cotton texture. No letters, no readable text, no brand name, no watermark, no people, no hands. Photorealistic commercial product photography, 100mm macro at f/8, sharp throughout
