# Reserva Aurora — lançamento · 15 imagens
# formato: nome|aspecto|usa_ref(s/n)|prompt
hero.png|16:9|n|Architectural visualization photograph of a contemporary upscale residential condominium tower at dusk in Brazil: clean horizontal concrete lines, floor-to-ceiling glass, warm interior lights glowing, wooden brise-soleil, landscaped entrance with tropical planting and a lit reflecting pool in the foreground, deep blue evening sky. Photorealistic, wide angle. The building sits on the RIGHT of the frame, the LEFT is sky and landscaping so text can be placed there. No text, no logos, no signage, no people, no watermarks.
fachada.png|4:5|n|Vertical architectural photograph detailing the facade of a contemporary Brazilian residential building: wooden brise-soleil louvres, balconies with glass rails, exposed concrete beams, warm late afternoon light raking across the surface. Photorealistic, no people, no text, no logos.
planta-a.png|4:3|n|Clean architectural floor plan drawing of a two-bedroom apartment of 68 square metres, top-down view, thin black lines on white, furniture drawn in light grey, one bedroom marked as a suite, an integrated living room and a balcony along one side. Technical, minimal, uncluttered. No text labels, no dimensions, no logos.
planta-b.png|4:3|n|Clean architectural floor plan drawing of a three-bedroom apartment of 86 square metres, top-down view, thin black lines on white, furniture drawn in light grey, L-shaped living room, one suite, a powder room and a balcony. Technical, minimal, uncluttered. No text labels, no dimensions, no logos.
planta-c.png|4:3|n|Clean architectural floor plan drawing of a three-bedroom penthouse of 104 square metres with a large private terrace, top-down view, thin black lines on white, furniture in light grey, barbecue area drawn on the terrace. Technical, minimal, uncluttered. No text labels, no dimensions, no logos.
lazer-01.png|4:3|n|Architectural visualization of a residential condominium swimming pool with a wooden deck, sun loungers, shallow children's area and tropical planting, warm late afternoon light. Photorealistic, no people, no text, no logos.
lazer-02.png|4:3|n|Architectural visualization of a condominium party room in Brazil: long dining table, upholstered chairs, a support kitchen behind glass, warm pendant lighting, garden visible through the windows. Photorealistic, no people, no text, no logos.
lazer-03.png|4:3|n|Architectural visualization of a condominium gym with treadmills, weight equipment, rubber flooring, a mirrored wall and a large window facing a garden. Bright and clean. Photorealistic, no people, no text, no logos.
lazer-04.png|4:3|n|Architectural visualization of a covered outdoor gourmet area with two barbecue grills, a wood-fired pizza oven and a long communal table, warm evening lighting, planting around. Photorealistic, no people, no text, no logos.
lazer-05.png|4:3|n|Architectural visualization of a children's playroom in a residential condominium: low shelves with toys, soft flooring, small table and chairs, soft colours, daylight. Photorealistic, no children, no people, no text, no logos.
lazer-06.png|4:3|n|Architectural visualization of a small coworking room in a residential condominium: six individual desks with task lamps, an enclosed glass meeting booth, wood and neutral tones, daylight. Photorealistic, no people, no text, no logos.
obra.png|4:3|n|Documentary photograph of a Brazilian residential construction site: reinforced concrete structure risen to around the sixth floor, tower crane, scaffolding, safety netting, blue sky. Realistic, no readable text, no logos, no faces.
entorno.png|4:3|n|Photograph of a quiet tree-lined residential street in a Brazilian neighbourhood, low houses and small buildings, sidewalk, parked cars, warm morning light. No people in focus, no text, no logos.
og.png|16:9|n|Architectural visualization of a contemporary Brazilian residential tower at dusk with warm lit apartments and landscaped entrance, wide cinematic composition. No text, no logos, no people, no watermarks.
hero-mobile.png|4:5|n|Vertical architectural visualization of a contemporary Brazilian residential tower at dusk seen from below, warm lit apartments, wooden brise-soleil, deep blue sky, landscaped entrance at the bottom of the frame. Photorealistic. No text, no logos, no people, no watermarks.
