# Bruno Tavares — corretor autônomo · 15 imagens
# formato: nome|aspecto|usa_ref(s/n)|prompt
# nomes de saída em png; o converter.js resolve tamanho e peso depois.
hero.png|4:5|n|Editorial photograph of a friendly Brazilian man in his early forties, short dark hair, light stubble, wearing an open navy blazer over a plain white shirt, standing relaxed with hands in pockets on the sidewalk of a quiet residential street in a hilly mid-size Brazilian city. Low houses with garden walls behind him, leafy trees, late afternoon golden light, shallow depth of field, warm natural colours. Vertical composition, subject centred. No text, no logos, no signage, no watermarks.
sobre.png|4:5|n|Documentary photograph of a real estate broker in his forties sitting at a wooden desk in a small warm office, talking with a couple seen from behind. Paper documents and a laptop on the desk, bookshelf and a plant in the background, soft window light from the left. Natural, unposed, warm colour grade. No text, no logos, no watermarks.
bairro.png|3:2|n|Photograph of a tree-lined residential street in a hilly mid-size Brazilian city at the end of the afternoon. Houses with garden walls, a few low apartment buildings climbing the hill, parked cars, warm low sun, long soft shadows. Calm, lived-in, no people in focus. No text, no logos, no watermarks.
imovel-01.png|4:3|n|Interior photograph of a bright renovated Brazilian apartment living room with a glass door opening to a balcony, light wood floor, neutral sofa, plants, morning sun coming in from the left. Realistic residential real estate photography, wide angle, no people. No text, no logos, no watermarks. The city is inland in the mountains of Minas Gerais: no ocean, no sea, no beach, no coastline, no Sugarloaf Mountain and no Rio de Janeiro landmarks anywhere in the view.
imovel-02.png|4:3|n|Exterior photograph of a modest single-storey Brazilian house with a small front garden, low wall and gate, terracotta roof tiles, on a quiet dead-end street. Late morning light, realistic residential real estate photography, no people. No text, no logos, no watermarks.
sm-104.png|4:3|n|Interior photograph of a three-bedroom Brazilian apartment living room with a gourmet balcony behind glass doors, light porcelain floor, morning sunlight, neutral furniture. Real estate photography, wide angle, no people, no text, no logos.
bp-071.png|4:3|n|Exterior photograph of a single-storey Brazilian house with a back yard, laundry area and a mango tree, slightly worn paint, sunny day. Honest real estate photography, no people, no text, no logos.
sm-118.png|4:3|n|Interior photograph of a small furnished two-bedroom Brazilian apartment: compact living room with sofa, dining table for four, and a kitchen counter visible. Warm afternoon light. Real estate photography, no people, no text, no logos.
sm-121.png|4:3|n|Interior photograph of a duplex penthouse living room in Brazil with a staircase, double-height ceiling and large windows opening onto a terrace with a barbecue. Late afternoon light. Real estate photography, no people, no text, no logos. The city is inland in the mountains of Minas Gerais: no ocean, no sea, no beach, no coastline, no Sugarloaf Mountain and no Rio de Janeiro landmarks anywhere in the view.
bp-083.png|4:3|n|Interior photograph of a brand-new empty two-bedroom Brazilian apartment: white walls, porcelain floor, aluminium window, balcony door. Clean, bright daylight. Real estate photography, no people, no text, no logos.
bp-090.png|4:3|n|Exterior photograph of a Brazilian house back yard with a small annex building, tiled floor, clothesline and a wall covered with climbing plants. Sunny day. Real estate photography, no people, no text, no logos.
sm-096.png|4:3|n|Interior photograph of a small renovated studio apartment in Brazil: bed, small desk, kitchenette along one wall, large window with city view. Bright, modern, compact. Real estate photography, no people, no text, no logos. The city is inland in the mountains of Minas Gerais: no ocean, no sea, no beach, no coastline, no Sugarloaf Mountain and no Rio de Janeiro landmarks anywhere in the view.
bp-064.png|4:3|n|Photograph of an empty flat urban plot of land in a Brazilian residential neighbourhood, surrounded by a plastered boundary wall, grass cut short, houses visible on both sides. Clear day. No people, no text, no logos.
sm-130.png|4:3|n|Interior photograph of a three-bedroom Brazilian apartment with a corridor leading to the bedrooms and a service area with laundry visible through a door. Neutral, well-kept, daylight. Real estate photography, no people, no text, no logos.
og.png|16:9|n|Wide editorial photograph of a tree-lined residential street in a hilly Brazilian city at golden hour, warm and inviting, room for text on the left. No people in focus, no text, no logos, no watermarks.
